"id","number_of_conversations","longest_conversation","longest_conversation_days","average_conversation_length","average_conversation_length_days","median_conversation_length","median_conversation_length_days","number_of_one_message_conversations","ghostings_after_initial_message","birthday","age_filter_min","age_filter_max","city_name","country","created_date","education","gender","interested_in","gender_filter","instagram","spotify","job","school","agr_total_likes","agr_total_passes","agr_total_matches","agr_total_app_opens","agr_total_messages_sent","agr_total_messages_recieved","active_till","days_active","start_age","end_age","average_age","match_p","likes_p","sent_recieved_ratio","conversation_match_ratio","one_message_p","ghosting_p","job_category","continent","match_pc_m","match_pc_group_m","match_pc_f","match_pc_group_f"
"00365a51cb920f38e3cbda41ab3135cb",12,78,2.53091435185185,13.1666666666667,0.800434027777778,9,0.524780092592592,3,0,1986-11-13,20,34,NA,NA,2021-06-07 17:58:14,1,"0","1",1,0,0,NA,NA,257,4071,NA,NA,167,181,2021-06-12,5,34,34,34,NA,0.0593807763401109,0.922651933701657,NA,0.25,0,"None","Unidentified",NA,NA,NA,NA
"0054c12d2889e9428e54a3fd06600bd3",159,43,69.8040277777778,3.86792452830189,2.29725417831353,1,0,35,53,1994-07-27,20,32,NA,NA,2016-08-11 04:38:09,0,"0","2",2,0,0,NA,NA,8563,5995,303,4483,615,544,2021-06-10,1764,22,26,24,0.0341755019174374,0.588198928424234,1.13051470588235,0.524752475247525,0.220125786163522,0.333333333333333,"None","Unidentified",0.698547215496368,"(0.6,0.7]",NA,NA
"008c29d66d5975b0127132144576201f",162,48,200.1221875,4.51234567901235,5.0898396776406,2,8.1018518518e-05,73,7,1997-08-12,18,30,"Rapid City","SD",2019-08-31 16:53:30,1,"0","1",1,0,1,NA,"Haverford College",6511,71423,366,8725,751,502,2021-03-23,570,22,23,22,0.0532208811981969,0.0835450509405394,1.49601593625498,0.442622950819672,0.450617283950617,0.0432098765432099,"None","North America",0.835351089588378,"(0.8,0.9]",NA,NA
"00b74e27ad1cbb2ded8e907fcc49eaaf",739,133,683.55744212963,8.56021650879567,10.2366199318398,3,0.081134259259259,226,66,1976-01-01,21,35,"Trondheim","Norway",2016-01-01 09:30:07,0,"0","1",1,0,0,NA,NA,23341,24229,3408,6839,3360,3261,2017-12-30,729,40,41,40,0.127406632023627,0.490666386377969,1.03035878564857,0.216842723004695,0.305818673883627,0.0893098782138024,"None","Europe",0.966101694915254,"(0.9,1]",NA,NA
"00ff275ea954e6564836e1375c31ce25",114,59,14.2127314814815,11.0614035087719,1.45421245532814,7,0.13417824074074,18,4,2000-06-11,20,24,"Cork","Ireland",2019-12-16 22:25:26,1,"0","1",1,0,1,NA,"National University of Ireland - University College Cork",20914,5554,503,1856,1316,1305,2021-01-16,397,19,20,19,0.0234860157818555,0.790161704700015,1.00842911877395,0.226640159045726,0.157894736842105,0.0350877192982456,"None","Europe",0.587167070217918,"(0.5,0.6]",NA,NA
"012f31c934343673c067978eb027edb7",532,134,62.1883101851852,6.65037593984962,2.12578805955862,3,0.163472222222222,145,30,1994-06-22,21,44,"Helsinki","Finland",2020-08-16 15:49:25,1,"0","1",1,1,0,NA,NA,7051,76758,2,121,3598,3703,2021-08-28,377,26,27,26,0.000283567276336311,0.0841317758235989,0.97164461247637,266,0.272556390977444,0.056390977443609,"None","Europe",0.0157384987893462,"(0,0.1]",NA,NA
"01a920152b82205cb42646472ecd0e29",62,45,17.2082523148148,4.03225806451613,1.30072543309438,2,4.6296296296e-05,30,0,1999-05-31,18,40,NA,NA,2021-07-04 05:14:08,1,"0","1",1,0,0,"Firefighter",NA,8214,7642,NA,NA,291,211,2021-08-22,49,22,22,22,NA,0.518037336024218,1.37914691943128,NA,0.483870967741935,0,"Emergency & Protective Services","Unidentified",NA,NA,NA,NA
"024610702baf540af5637873cd1534e9",464,36,622.466527777778,4.49568965517241,3.97398015944286,2,6.9444444444e-05,56,16,1997-07-04,18,29,"Richmond","VA",2016-07-12 02:26:46,0,"0","1",1,0,0,NA,NA,45068,49559,888,26280,2088,1509,2020-02-20,1318,19,22,20,0.0193228305335538,0.476269986367527,1.38369781312127,0.522522522522523,0.120689655172414,0.0344827586206897,"None","North America",0.530266343825666,"(0.5,0.6]",NA,NA
"026dc738197bdaccce4ff29502227bbc",10,52,0.229363425925925,13.9,0.050359953703703,6,0.021736111111111,4,0,1997-06-01,18,34,NA,NA,2021-07-09 02:08:24,1,"0","1",1,0,0,NA,NA,431,1019,NA,NA,146,81,2021-07-10,1,24,24,24,NA,0.297241379310345,1.80246913580247,NA,0.4,0,"None","Unidentified",NA,NA,NA,NA
"03371ac20f88c9c8843ef140a8704923",1205,79,252.629884259259,3.3402489626556,2.23422525741509,1,0,561,137,2000-11-23,18,23,"Washington","DC",2020-01-24 02:45:53,1,"0","1",1,1,0,NA,"Georgetown University",14541,77204,2523,7243,4053,3468,2021-08-28,582,19,20,19,0.147855133614627,0.158493650880157,1.16868512110727,0.47760602457392,0.465560165975104,0.113692946058091,"None","North America",0.974576271186441,"(0.9,1]",NA,NA
"034b3aa648f3c446751ed35583cba991",129,238,133.567766203704,9.67441860465116,2.31467018374964,1,0,60,9,1991-07-16,18,30,"San Francisco","CA",2020-01-02 04:05:22,1,"0","1",1,0,1,"Civil Engineer",NA,13528,16540,316,1824,1277,927,2021-10-16,653,28,29,28,0.0228257728980064,0.449913529333511,1.37756202804746,0.408227848101266,0.465116279069767,0.0697674418604651,"Tech, Engineering & Design","North America",0.578692493946731,"(0.5,0.6]",NA,NA
"03846287ef12001853246f9433fbf143",65,27,92.0307986111111,4.33846153846154,2.18694960826211,2,0.015358796296296,28,0,1999-06-26,18,23,"Broadlands","Virginia",2019-09-01 20:19:14,1,"0","1",1,1,0,"Technical Intern","Virginia Tech",7131,5293,51,1841,286,196,2021-08-29,728,20,21,20,0.00710108604845447,0.573969735994849,1.45918367346939,1.27450980392157,0.430769230769231,0,"Academic & Intern","Unidentified",0.220338983050847,"(0.2,0.3]",NA,NA
